image_id,sequence_id,user_id,username,captured_at_utc,country,lon,lat
849465014744719,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:17.500000+00:00,"Taiwan, Province of China",121.4196247,25.0637398
853709824088292,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:24.333000+00:00,"Taiwan, Province of China",121.4207908,25.064489
854434737372052,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:43.333000+00:00,"Taiwan, Province of China",121.4133245,25.0596236
854478840809049,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:57+00:00,"Taiwan, Province of China",121.4159331,25.0612623
855169844067992,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:53.333000+00:00,"Taiwan, Province of China",121.4152818,25.0608513
855201053892522,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:54.666000+00:00,"Taiwan, Province of China",121.4256992,25.0671269
855627847097029,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:30.500000+00:00,"Taiwan, Province of China",121.4217702,25.0651033
859804670302627,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:42.500000+00:00,"Taiwan, Province of China",121.4236111,25.0660874
860554670224689,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:14.666000+00:00,"Taiwan, Province of China",121.4075654,25.0564864
860561166841367,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:00.666000+00:00,"Taiwan, Province of China",121.4165926,25.0616629
861308986685081,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:36+00:00,"Taiwan, Province of China",121.4226271,25.065625
861412343287254,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:12.666000+00:00,"Taiwan, Province of China",121.4071663,25.0562507
865281369579662,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:17.333000+00:00,"Taiwan, Province of China",121.4080305,25.0567623
866216392802489,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:36.666000+00:00,"Taiwan, Province of China",121.4119567,25.0588926
866723946063305,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:04+00:00,"Taiwan, Province of China",121.4055108,25.055588
866740702947520,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:50.500000+00:00,"Taiwan, Province of China",121.4249458,25.0667262
867461249375018,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:34.333000+00:00,"Taiwan, Province of China",121.4223603,25.0654687
867472866210485,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:09.666000+00:00,"Taiwan, Province of China",121.4182877,25.0628397
867721829201909,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:45+00:00,"Taiwan, Province of China",121.4136608,25.0598145
868385472340831,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:52.333000+00:00,"Taiwan, Province of China",121.4150963,25.0607159
868651835928086,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:21.333000+00:00,"Taiwan, Province of China",121.420275,25.064152
869423769153928,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:06.333000+00:00,"Taiwan, Province of China",121.4059696,25.0557043
873704332024068,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:54.333000+00:00,"Taiwan, Province of China",121.4256311,25.0670899
874318431625619,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:38+00:00,"Taiwan, Province of China",121.4228949,25.0657791
875463248678920,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:35.500000+00:00,"Taiwan, Province of China",121.4225604,25.0655859
876020195189643,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:33.333000+00:00,"Taiwan, Province of China",121.4112987,25.058644
876028731954689,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:07.666000+00:00,"Taiwan, Province of China",121.4062727,25.0557895
876332815238749,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:05+00:00,"Taiwan, Province of China",121.4174596,25.0621705
877823011269666,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:30+00:00,"Taiwan, Province of China",121.4217045,25.0650628
879271351248903,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:53.666000+00:00,"Taiwan, Province of China",121.4254942,25.067017
879926367772874,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:03.666000+00:00,"Taiwan, Province of China",121.4054336,25.0555711
880458654914959,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:29.333000+00:00,"Taiwan, Province of China",121.4215731,25.0649821
882883654245837,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:29.666000+00:00,"Taiwan, Province of China",121.4216389,25.0650224
883106334200684,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:45:06+00:00,"Taiwan, Province of China",121.427589,25.0678437
884355127375783,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:04.333000+00:00,"Taiwan, Province of China",121.4173258,25.0620929
886105990535200,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:00.500000+00:00,"Taiwan, Province of China",121.4047335,25.0554413
887121750436869,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:48.333000+00:00,"Taiwan, Province of China",121.41439,25.0602503
889665693430786,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:40+00:00,"Taiwan, Province of China",121.4126441,25.0592527
891887089863040,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:52+00:00,"Taiwan, Province of China",121.4150335,25.0606718
896770732795288,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:09+00:00,"Taiwan, Province of China",121.4064892,25.0558796
897829449362747,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:50.500000+00:00,"Taiwan, Province of China",121.4147785,25.0605002
898757082493629,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:14.333000+00:00,"Taiwan, Province of China",121.4190996,25.0634157
899562845745393,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:18+00:00,"Taiwan, Province of China",121.4081629,25.0568417
899986875798240,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:22.666000+00:00,"Taiwan, Province of China",121.4090896,25.0573983
900256342425897,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:43.666000+00:00,"Taiwan, Province of China",121.4238282,25.0661785
901498575721286,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:31.333000+00:00,"Taiwan, Province of China",121.4219019,25.0651838
912027621489485,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:38.333000+00:00,"Taiwan, Province of China",121.412303,25.0590686
915952934113295,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:41.666000+00:00,"Taiwan, Province of China",121.4129809,25.0594444
917338310827664,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:41.333000+00:00,"Taiwan, Province of China",121.4129131,25.0594058
920731991127713,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:28+00:00,"Taiwan, Province of China",121.4213757,25.0648611
924746626652974,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:15+00:00,"Taiwan, Province of China",121.4076325,25.0565249
926289953159342,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:44:57.500000+00:00,"Taiwan, Province of China",121.4261745,25.067388
995205603666889,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:18.333000+00:00,"Taiwan, Province of China",121.4082293,25.0568813
1029246623332669,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:12+00:00,"Taiwan, Province of China",121.4070318,25.0561741
1047471754238771,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:30+00:00,"Taiwan, Province of China",121.4105858,25.0583423
1067528645488443,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:45:05+00:00,"Taiwan, Province of China",121.4273581,25.0677906
1097213605750986,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:51.666000+00:00,"Taiwan, Province of China",121.4149707,25.0606278
1100939238711755,DxPbE6iWgZ4dCemU9aS1KN,101914818722206,hcyen,2026-01-03T19:43:59+00:00,"Taiwan, Province of China",121.416332,25.0614984
