image_id,sequence_id,user_id,username,captured_at_utc,country,lon,lat,segment_km
1327475022601991,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:47:24.753000+00:00,India,73.4076167,18.4646689,0.0096
1329032862529350,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:46:28.804000+00:00,India,73.410325,18.461269,0.0053
1331899818836568,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:50:20.757000+00:00,India,73.4047561,18.4477596,0.0353
1332947215359204,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:49:38.764000+00:00,India,73.4074481,18.4533611,0.0125
1334795408639609,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:46:15.762000+00:00,India,73.4103276,18.4603241,0.0087
1339569588051548,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:48:39.774000+00:00,India,73.4067745,18.4606229,0.0122
1341641871242590,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:48:37.812000+00:00,India,73.4067364,18.4608404,0.0124
1345487470775918,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:45:53.787000+00:00,India,73.4120241,18.4607946,0.0122
1380617543973963,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:50:10.781000+00:00,India,73.4052716,18.4491495,0.0344
1413069957327023,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:45:12.747000+00:00,India,73.4126511,18.4623962,0.0085
1421706172976651,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:49:55.769000+00:00,India,73.4059212,18.4514101,0.0214
1425828252562413,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:47:38.780000+00:00,India,73.4068745,18.4642103,0.0036
1427766052720026,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:46:03.733000+00:00,India,73.4112205,18.4605824,0.0093
1432676812219632,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:45:51.765000+00:00,India,73.4122039,18.4606711,0.0107
1443320467567975,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:47:00.778000+00:00,India,73.409611,18.4640378,0.0138
1444448574549564,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:46:27.764000+00:00,India,73.4103227,18.4612215,0.0057
1451434329579685,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:48:05.834000+00:00,India,73.4064866,18.4634308,0.0035
1452498379451773,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:48:49.836000+00:00,India,73.4072716,18.4596137,0.0121
1453021612714043,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:47:15.753000+00:00,India,73.4083845,18.4648284,0.0104
1455529982487849,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:49:39.757000+00:00,India,73.407397,18.4532734,0.0111
1460576435339984,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:46:14.827000+00:00,India,73.4103904,18.4602739,0.0084
1464129444881998,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:46:39.758000+00:00,India,73.4100729,18.461836,0.0075
1469268681594745,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:47:22.810000+00:00,India,73.4077853,18.4647242,0.009
1469708600751382,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:48:50.732000+00:00,India,73.4073508,18.4595372,0.0119
1470197631182958,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:46:26.752000+00:00,India,73.4103157,18.4611708,0.0068
1470691314135946,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:46:42.752000+00:00,India,73.4100309,18.4620568,0.0086
1471739414752822,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:45:57.798000+00:00,India,73.4116659,18.4609054,0.0102
1476864787567865,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:48:40.808000+00:00,India,73.4067942,18.4605144,0.0122
1477727190427558,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:46:21.823000+00:00,India,73.4102191,18.4607919,0.0102
1479000743665016,agTlbu0Ax95Vj2Edvq7Lr8,1237217097511568,AmrutaA,2026-04-30T04:45:29.820000+00:00,India,73.4134987,18.4611169,0.0099
1479384087257676,dvl4N1SYDBGOQhk08jxV9U,1237217097511568,AmrutaA,2026-04-30T04:49:58.773000+00:00,India,73.4056598,18.4509692,0.036
